user_text,age_group,sex,body_part,red_flags_present,duration_days,pain_score,symptom_count,primary_disease
"for the last few days i have had flank pain, fever, chills, vomiting and blood in urine for 4 days. my pain score is 4 out of 10.",child,female,back/abdomen,yes,4,4,5,kidney infection
"i feel one-sided headache, nausea and sound sensitivity for 1 day. my pain score is 3 out of 10.",adult,male,head,no,1,3,3,migraine
"i am experiencing increased thirst, frequent urination and dizziness for 3 days. my pain score is 1 out of 10.",older adult,male,whole body,no,3,1,3,hyperglycemia
"today i noticed sneezing, runny nose, itchy eyes and poor sleep for 5 days. my pain score is 3 out of 10.",adult,male,head,no,5,3,4,allergic rhinitis
"i feel loss of appetite, bloating, heartburn and vomiting for 7 days. my pain score is 5 out of 10.",adult,female,abdomen,yes,7,5,4,gastritis
"today i noticed fever, loss of appetite, nausea, abdominal tenderness, vomiting, severe abdominal pain and fainting for 3 days. my pain score is 9 out of 10.",older adult,not specified,abdomen,yes,3,9,7,appendicitis
"i've got bad taste, facial swelling, gum swelling, tooth pain, pain chewing and swollen glands for 2 days. my pain score is 6 out of 10.",older adult,male,mouth/face,no,2,6,6,dental abscess
"i feel fever, very unwell, shivering, fast heartbeat, reduced urination, vomiting, weakness, no urination all day and rapid breathing today. my pain score is 9 out of 10.",teen,female,whole body,yes,0,9,9,sepsis
"my symptoms are fatigue, dark urine, fast heartbeat, reduced urination, headache and diarrhea for 5 days. my pain score is 4 out of 10.",older adult,not specified,whole body,yes,5,4,6,dehydration
"for the last few days i have had localized pain, muscle tightness, reduced range of motion, bruising and swelling for 3 days. my pain score is 5 out of 10.",teen,not specified,back/arm/leg,yes,3,5,5,muscle strain
"for the last few days i have had sweating, hunger, shaking and trembling for 3 days. my pain score is 1 out of 10.",older adult,male,whole body,no,3,1,4,hypoglycemia
"my symptoms are nausea, loss of appetite and fever today. my pain score is 3 out of 10.",adult,female,abdomen,no,0,3,3,appendicitis
"for the last few days i have had chest pain when breathing, cough, fever, fatigue, chills, low oxygen and loss of smell for 9 days. my pain score is 8 out of 10.",teen,female,chest,yes,9,8,7,pneumonia
"i've got thirst, dark urine, fatigue, dry mouth, headache, reduced urination and fast heartbeat for 6 days. my pain score is 4 out of 10.",adult,male,whole body,no,6,4,7,dehydration
"for the last few days i have had facial pressure, thick nasal discharge, headache and blocked nose for 1 day. my pain score is 3 out of 10.",adult,female,head,yes,1,3,4,sinusitis
"for the last few days i have had arm weakness, face drooping, sudden confusion, dizziness, loss of balance and cannot speak for 6 days. my pain score is 10 out of 10.",teen,not specified,head/face/arm,yes,6,10,6,stroke
"for the last few days i have had cough, shortness of breath, green mucus and fever for 3 days. my pain score is 5 out of 10.",older adult,not specified,chest,no,3,5,4,pneumonia
"my symptoms are warm skin, swelling, spreading redness and very unwell for 3 days. my pain score is 5 out of 10.",adult,female,skin/leg/arm,yes,3,5,4,cellulitis
"for the last few days i have had itchy eyes, sneezing, runny nose, blocked nose, poor sleep, cough and mild cough for 7 days. my pain score is 3 out of 10.",child,not specified,head,no,7,3,7,allergic rhinitis
"i am experiencing headache, facial pressure, thick nasal discharge, blocked nose, fever, tooth pain and reduced smell for 5 days. my pain score is 5 out of 10.",older adult,not specified,head,no,5,5,7,sinusitis
"i feel muscle tightness, localized pain, swelling, reduced range of motion and difficulty moving for 4 days. my pain score is 4 out of 10.",older adult,male,back/arm/leg,no,4,4,5,muscle strain
"i have acid reflux, sour taste, burning chest discomfort, heartburn and chest pressure for 1 day. my pain score is 3 out of 10.",adult,male,chest/abdomen,no,1,3,5,gerd
"i feel arm weakness, face drooping, vision trouble, loss of balance, cannot speak and sound sensitivity for 13 days. my pain score is 9 out of 10.",older adult,male,head/face/arm,yes,13,9,6,stroke
"today i noticed upper abdominal pain, nausea, vomiting, heartburn and indigestion for 7 days. my pain score is 4 out of 10.",adult,not specified,abdomen,yes,7,4,5,gastritis
"i have light sensitivity, severe headache, vomiting, rash and drowsiness for 2 days. my pain score is 7 out of 10.",child,not specified,head/neck,no,2,7,5,meningitis
"i have sore throat, runny nose and mild cough for 1 day. my pain score is 2 out of 10.",teen,not specified,head/chest,no,1,2,3,common cold
"i feel acid reflux, heartburn, burning chest discomfort, nausea, black stool and difficulty swallowing for 10 days. my pain score is 9 out of 10.",older adult,not specified,chest/abdomen,yes,10,9,6,gerd
today i noticed blurred vision and fatigue for 1 day. my pain score is 2 out of 10.,adult,male,whole body,no,1,2,2,hyperglycemia
"i feel nausea, burning urination, flank pain, fever, chills, blood in urine, vomiting and muscle tightness for 7 days. my pain score is 7 out of 10.",adult,not specified,back/abdomen,yes,7,7,8,kidney infection
"my symptoms are fever, chest pain when breathing, shortness of breath, cough, fatigue and chills for 6 days. my pain score is 6 out of 10.",child,male,chest,no,6,6,6,pneumonia
"today i noticed itchy rash, dry skin, scaly skin, cracked skin, sleep disturbance and warm skin for 5 days. my pain score is 7 out of 10.",teen,male,skin,yes,5,7,6,eczema flare
"i've got runny nose, blocked nose, watery eyes and itchy eyes for 1 day. my pain score is 2 out of 10.",teen,female,head,no,1,2,4,allergic rhinitis
"i feel red patches, dry skin, sleep disturbance, oozing and cracked skin for 4 days. my pain score is 7 out of 10.",older adult,male,skin,yes,4,7,5,eczema flare
"i feel heartburn, acid reflux, worse lying down, cough after meals and nausea for 5 days. my pain score is 7 out of 10.",child,male,chest/abdomen,yes,5,7,5,gerd
i feel chills and body aches today. my pain score is 1 out of 10.,teen,female,whole body,no,0,1,2,influenza
"i have scaly skin, dry skin, cracked skin and oozing for 7 days. my pain score is 4 out of 10.",older adult,male,skin,no,7,4,4,eczema flare
"i've got itchy eye, eye discharge, watery eye, gritty feeling and blocked nose for 7 days. my pain score is 3 out of 10.",child,not specified,eye,no,7,3,5,conjunctivitis
"today i noticed nausea, light sensitivity, one-sided headache, vomiting, visual aura and neck tightness for 7 days. my pain score is 7 out of 10.",teen,not specified,head,yes,7,7,6,migraine
"i have sour taste, acid reflux, nausea and fear for 2 days. my pain score is 5 out of 10.",older adult,female,chest/abdomen,no,2,5,4,gerd
"my symptoms are shortness of breath on exertion, dizziness, fast heartbeat, headache and trembling for 4 days. my pain score is 7 out of 10.",older adult,not specified,whole body,yes,4,7,5,anemia
"today i noticed racing heart, fear, tingling fingers and fainting for 13 days. my pain score is 10 out of 10.",older adult,male,chest/whole body,yes,13,10,4,anxiety or panic attack
"for the last few days i have had loss of smell, sore throat, dry cough and headache for 6 days. my pain score is 5 out of 10.",child,male,whole body,yes,6,5,4,covid-like viral illness
"i have burning urination, frequent urination, lower abdominal pain, blood in urine and back pain for 3 days. my pain score is 6 out of 10.",teen,not specified,pelvis/abdomen,no,3,6,5,urinary tract infection
"today i noticed nausea, ate suspicious food, diarrhea and stomach cramps for 3 days. my pain score is 1 out of 10.",child,female,abdomen,no,3,1,4,food poisoning
"i am experiencing difficulty moving, swelling, deformity, severe tenderness, cannot bear weight and red skin for 7 days. my pain score is 3 out of 10.",adult,female,arm/leg,yes,7,3,6,fracture or sprain
"i am experiencing mild fever, fatigue, productive cough and chest tightness for 2 days. my pain score is 2 out of 10.",older adult,male,chest,yes,2,2,4,bronchitis
"for the last few days i have had stress, neck tightness, fatigue and thick nasal discharge for 6 days. my pain score is 3 out of 10.",child,not specified,head,no,6,3,4,tension headache
"i am experiencing acid reflux, heartburn, sour taste, worse lying down, nausea and cough after meals for 4 days. my pain score is 6 out of 10.",teen,male,chest/abdomen,yes,4,6,6,gerd
"my symptoms are fever, light sensitivity, severe headache, neck stiffness, vomiting, confusion and seizure for 6 days. my pain score is 10 out of 10.",teen,male,head/neck,yes,6,10,7,meningitis
"i am experiencing shaking, dizziness, headache, fast heartbeat, cannot swallow and seizure for 6 days. my pain score is 8 out of 10.",teen,female,whole body,yes,6,8,6,hypoglycemia
"i am experiencing nausea, flank pain, burning urination, fever, vomiting, blood in urine and very unwell for 2 days. my pain score is 9 out of 10.",teen,not specified,back/abdomen,yes,2,9,7,kidney infection
"for the last few days i have had frequent urination, cloudy urine, fever, back pain and blood in urine for 2 days. my pain score is 3 out of 10.",adult,not specified,pelvis/abdomen,yes,2,3,5,urinary tract infection
"for the last few days i have had red skin, warm skin, swelling and skin pain for 2 days. my pain score is 1 out of 10.",teen,not specified,skin/leg/arm,yes,2,1,4,cellulitis
"i feel diarrhea, vomiting, nausea, dehydration and body aches for 3 days. my pain score is 3 out of 10.",teen,female,abdomen,no,3,3,5,gastroenteritis
"i have itchy rash, dry skin, sleep disturbance, cracked skin and oozing for 6 days. my pain score is 4 out of 10.",older adult,female,skin,no,6,4,5,eczema flare
"for the last few days i have had reduced hearing, fullness in ear and ear pain for 1 day. my pain score is 2 out of 10.",older adult,female,ear/head,no,1,2,3,ear infection
"for the last few days i have had mild fever, chest discomfort, productive cough, mucus and difficulty breathing for 8 days. my pain score is 8 out of 10.",adult,not specified,chest,yes,8,8,5,bronchitis
"i've got dull headache, pressure around head, stress, mild nausea and fatigue for 2 days. my pain score is 3 out of 10.",child,male,head,no,2,3,5,tension headache
"i am experiencing fatigue, dizziness and pale skin today. my pain score is 2 out of 10.",child,male,whole body,no,0,2,3,anemia
"today i noticed sore throat, fatigue, headache, body aches, diarrhea, difficulty breathing, blue lips and shortness of breath for 7 days. my pain score is 10 out of 10.",teen,female,whole body,yes,7,10,8,covid-like viral illness
"my symptoms are itchy eye, eye discharge, watery eye, gritty feeling, mild eyelid swelling and light sensitivity for 2 days. my pain score is 5 out of 10.",older adult,not specified,eye,no,2,5,6,conjunctivitis
"i have light sensitivity, neck stiffness, severe headache, fever, vomiting, drowsiness, rash, non-blanching rash, seizure and chills for 5 days. my pain score is 10 out of 10.",adult,male,head/neck,yes,5,10,10,meningitis
"i've got fullness in ear, ear pain, reduced hearing, fever, poor sleep and blocked nose for 5 days. my pain score is 7 out of 10.",adult,female,ear/head,no,5,7,6,ear infection
"for the last few days i have had upper abdominal pain, loss of appetite, nausea, bloating, vomiting, heartburn and severe abdominal pain for 1 day. my pain score is 7 out of 10.",child,female,abdomen,yes,1,7,7,gastritis
"i feel dizziness, fatigue, dark urine, dry mouth, fast heartbeat, reduced urination, headache, no urination all day, confusion and stomach cramps for 13 days. my pain score is 8 out of 10.",adult,not specified,whole body,yes,13,8,10,dehydration
"today i noticed fatigue, mild fever, mucus, coughing blood and difficulty breathing for 9 days. my pain score is 9 out of 10.",child,female,chest,yes,9,9,5,bronchitis
"i feel loss of smell, fatigue, dry cough, body aches, diarrhea and headache for 3 days. my pain score is 6 out of 10.",adult,female,whole body,no,3,6,6,covid-like viral illness
for the last few days i have had dizziness and dark urine for 1 day. my pain score is 1 out of 10.,older adult,not specified,whole body,no,1,1,2,dehydration
"for the last few days i have had chest pressure, sweating, pain spreading to arm, jaw pain, shortness of breath and crushing chest pain for 13 days. my pain score is 7 out of 10.",older adult,male,chest,yes,13,7,6,heart attack
"i've got productive cough, fatigue, wheezing and coughing blood for 11 days. my pain score is 9 out of 10.",teen,female,chest,yes,11,9,4,bronchitis
"my symptoms are shortness of breath on exertion, pale skin, fatigue and dizziness for 3 days. my pain score is 2 out of 10.",older adult,male,whole body,no,3,2,4,anemia
"for the last few days i have had neck stiffness, light sensitivity, severe headache, fever, vomiting, drowsiness and rash for 7 days. my pain score is 6 out of 10.",teen,not specified,head/neck,no,7,6,7,meningitis
"for the last few days i have had pressure around head, dull headache, stress, fatigue, poor sleep, weakness on one side, confusion and dizziness for 3 days. my pain score is 7 out of 10.",teen,male,head,yes,3,7,8,tension headache
"i've got loss of appetite, nausea, upper abdominal pain and indigestion for 7 days. my pain score is 4 out of 10.",child,not specified,abdomen,yes,7,4,4,gastritis
"i am experiencing dull headache, pressure around head, stress, poor sleep and mild nausea for 5 days. my pain score is 3 out of 10.",older adult,not specified,head,yes,5,3,5,tension headache
"i feel flank pain, nausea, fever, burning urination, blood in urine, vomiting and chills for 7 days. my pain score is 7 out of 10.",teen,not specified,back/abdomen,yes,7,7,7,kidney infection
"for the last few days i have had light sensitivity, fever, vomiting, drowsiness and rash for 6 days. my pain score is 5 out of 10.",teen,female,head/neck,yes,6,5,5,meningitis
"i have bad taste, facial swelling, swollen glands, difficulty breathing and difficulty swallowing for 9 days. my pain score is 10 out of 10.",child,male,mouth/face,yes,9,10,5,dental abscess
"today i noticed headache, facial pressure, thick nasal discharge, blocked nose, reduced smell, tooth pain and fever for 6 days. my pain score is 5 out of 10.",teen,not specified,head,no,6,5,7,sinusitis
"i am experiencing scaly skin, dry skin, itchy rash, sleep disturbance, oozing, rapidly spreading redness and severe pain for 13 days. my pain score is 7 out of 10.",teen,male,skin,yes,13,7,7,eczema flare
"i feel dark urine, fatigue, dizziness, thirst, reduced urination, headache, fast heartbeat and diarrhea for 3 days. my pain score is 4 out of 10.",older adult,not specified,whole body,no,3,4,8,dehydration
"my symptoms are swelling, red skin, skin pain and warm skin today. my pain score is 2 out of 10.",adult,male,skin/leg/arm,no,0,2,4,cellulitis
"my symptoms are sudden confusion, face drooping, vision trouble, loss of balance, dizziness, sudden severe headache and weakness on one side for 13 days. my pain score is 7 out of 10.",child,female,head/face/arm,yes,13,7,7,stroke
"i am experiencing runny nose, sneezing, blocked nose and shortness of breath today. my pain score is 2 out of 10.",adult,female,head,no,0,2,4,allergic rhinitis
i am experiencing dry skin and itchy rash today. my pain score is 3 out of 10.,teen,male,skin,no,0,3,2,eczema flare
"today i noticed fever, nausea, right lower abdominal pain, vomiting and burning urination for 7 days. my pain score is 5 out of 10.",teen,female,abdomen,no,7,5,5,appendicitis
"i am experiencing dry cough, fatigue, fever and loss of smell for 3 days. my pain score is 1 out of 10.",adult,female,whole body,no,3,1,4,covid-like viral illness
"i have racing heart, shortness of breath, trembling, chest tightness, sweating, dizziness and tingling fingers for 5 days. my pain score is 6 out of 10.",adult,male,chest/whole body,no,5,6,7,anxiety or panic attack
"i am experiencing diarrhea, nausea and stomach cramps for 2 days. my pain score is 3 out of 10.",older adult,male,abdomen,yes,2,3,3,gastroenteritis
"today i noticed bad taste, facial swelling, tooth pain, fever, swollen glands and sound sensitivity for 5 days. my pain score is 6 out of 10.",teen,not specified,mouth/face,no,5,6,6,dental abscess
"i have fullness in ear, fever, dizziness and bad taste for 3 days. my pain score is 7 out of 10.",teen,male,ear/head,yes,3,7,4,ear infection
"today i noticed sudden confusion, arm weakness, speech difficulty, face drooping, loss of balance, sudden severe headache and weakness on one side for 5 days. my pain score is 9 out of 10.",older adult,male,head/face/arm,yes,5,9,7,stroke
"i feel localized pain, muscle tightness, recent lifting, pain worse with movement, bruising and difficulty moving for 6 days. my pain score is 3 out of 10.",older adult,female,back/arm/leg,yes,6,3,6,muscle strain
"my symptoms are neck stiffness, fever, rash, vomiting, drowsiness and seizure for 11 days. my pain score is 9 out of 10.",teen,not specified,head/neck,yes,11,9,6,meningitis
"i have productive cough, chest discomfort and shortness of breath for 7 days. my pain score is 4 out of 10.",teen,female,chest,no,7,4,3,bronchitis
"today i noticed blocked nose, sore throat and sneezing today. my pain score is 1 out of 10.",adult,female,head/chest,no,0,1,3,common cold
"my symptoms are stomach cramps, ate suspicious food, diarrhea, nausea, dehydration, severe dehydration and cannot keep fluids down for 5 days. my pain score is 10 out of 10.",teen,male,abdomen,yes,5,10,7,food poisoning
"today i noticed blocked nose, sneezing, runny nose, fever, difficulty breathing and dry cough for 6 days. my pain score is 9 out of 10.",older adult,male,head/chest,yes,6,9,6,common cold
"my symptoms are vomiting, diarrhea, stomach cramps, dehydration, body aches, fever, blood in stool and confusion today. my pain score is 8 out of 10.",teen,male,abdomen,yes,0,8,8,gastroenteritis
"i have chest discomfort, productive cough, fatigue and mild fever today. my pain score is 1 out of 10.",child,not specified,chest,no,0,1,4,bronchitis
"my symptoms are thick nasal discharge, headache, facial pressure, tooth pain, reduced smell and fever for 5 days. my pain score is 3 out of 10.",child,male,head,yes,5,3,6,sinusitis
"my symptoms are light sensitivity, neck stiffness, severe headache, fever, drowsiness, rash, vomiting, very unwell and non-blanching rash for 5 days. my pain score is 8 out of 10.",adult,not specified,head/neck,yes,5,8,9,meningitis
"i have hunger, shaking, headache, fast heartbeat, confusion, seizure and dizziness for 2 days. my pain score is 8 out of 10.",child,female,whole body,yes,2,8,7,hypoglycemia
"for the last few days i have had fast heartbeat, very unwell, fever, vomiting, blue lips and confusion for 1 day. my pain score is 8 out of 10.",teen,female,whole body,yes,1,8,6,sepsis
"i've got ate suspicious food, diarrhea and stomach cramps for 1 day. my pain score is 2 out of 10.",adult,female,abdomen,no,1,2,3,food poisoning
"i've got dry cough, fever, body aches, fatigue, sore throat, loss of appetite and headache for 4 days. my pain score is 5 out of 10.",child,male,whole body,no,4,5,7,influenza
"i have skin pain, swelling, red skin and fever for 7 days. my pain score is 6 out of 10.",child,not specified,skin/leg/arm,no,7,6,4,cellulitis
"for the last few days i have had nausea, stomach cramps, diarrhea, dehydration, body aches and fever for 6 days. my pain score is 4 out of 10.",child,not specified,abdomen,yes,6,4,6,gastroenteritis
"today i noticed dizziness, thirst, dry mouth, fast heartbeat, reduced urination and headache for 5 days. my pain score is 5 out of 10.",adult,female,whole body,no,5,5,6,dehydration
"i feel itchy eye, eye discharge and watery eye for 3 days. my pain score is 3 out of 10.",child,male,eye,no,3,3,3,conjunctivitis
"i feel cloudy urine, frequent urination, lower abdominal pain, burning urination, back pain, fever and blood in urine for 4 days. my pain score is 4 out of 10.",child,female,pelvis/abdomen,yes,4,4,7,urinary tract infection
"today i noticed localized pain, recent lifting, muscle tightness and pain worse with movement for 3 days. my pain score is 3 out of 10.",adult,not specified,back/arm/leg,yes,3,3,4,muscle strain
"i feel nausea, vomiting, ate suspicious food, diarrhea, weakness, fever and right lower abdominal pain for 5 days. my pain score is 5 out of 10.",child,not specified,abdomen,no,5,5,7,food poisoning
"i have stress, pressure around head, dull headache, neck tightness and facial pressure for 3 days. my pain score is 2 out of 10.",older adult,not specified,head,yes,3,2,5,tension headache
"my symptoms are shaking, dizziness, weakness, sweating, fast heartbeat, headache, confusion, seizure and cannot swallow for 5 days. my pain score is 8 out of 10.",child,female,whole body,yes,5,8,9,hypoglycemia
"i feel nausea, sound sensitivity and light sensitivity today. my pain score is 3 out of 10.",teen,female,head,no,0,3,3,migraine
"i am experiencing nausea, diarrhea, ate suspicious food and vomiting for 3 days. my pain score is 3 out of 10.",teen,male,abdomen,yes,3,3,4,food poisoning
"for the last few days i have had mild fever, chest discomfort, productive cough, mucus, shortness of breath, wheezing and cough for 5 days. my pain score is 7 out of 10.",older adult,not specified,chest,no,5,7,7,bronchitis
"for the last few days i have had sneezing, watery eyes, itchy eyes, blocked nose, cough and sinus pressure for 5 days. my pain score is 4 out of 10.",adult,not specified,head,no,5,4,6,allergic rhinitis
"today i noticed frequent urination, fatigue, blurred vision, dry mouth and nausea for 6 days. my pain score is 4 out of 10.",older adult,male,whole body,no,6,4,5,hyperglycemia
"for the last few days i have had nausea, bloating, upper abdominal pain and loss of appetite for 1 day. my pain score is 1 out of 10.",teen,not specified,abdomen,no,1,1,4,gastritis
"today i noticed ear pain, reduced hearing, fullness in ear and ear discharge for 3 days. my pain score is 5 out of 10.",older adult,female,ear/head,no,3,5,4,ear infection
"i've got difficulty moving, injury, bruising and pain worse with movement for 1 day. my pain score is 2 out of 10.",teen,male,arm/leg,no,1,2,4,fracture or sprain
"i feel warm skin, red skin, swelling, skin pain, spreading redness and pus for 4 days. my pain score is 4 out of 10.",adult,female,skin/leg/arm,no,4,4,6,cellulitis
"my symptoms are pale skin, shortness of breath on exertion, dizziness, cold hands, headache and fast heartbeat for 6 days. my pain score is 7 out of 10.",older adult,female,whole body,yes,6,7,6,anemia
"i have sudden confusion, face drooping, dizziness, vision trouble, cannot speak and nausea for 11 days. my pain score is 7 out of 10.",adult,male,head/face/arm,yes,11,7,6,stroke
"i've got pressure around head, dull headache, fatigue, mild nausea and poor sleep for 2 days. my pain score is 3 out of 10.",older adult,male,head,no,2,3,5,tension headache
"for the last few days i have had itchy eyes, watery eyes, runny nose, sneezing and sinus pressure for 5 days. my pain score is 3 out of 10.",teen,male,head,no,5,3,5,allergic rhinitis
"i have burning chest discomfort, sour taste, heartburn, acid reflux, nausea, cough after meals, worse lying down and sweating for 2 days. my pain score is 4 out of 10.",child,male,chest/abdomen,no,2,4,8,gerd
"today i noticed hunger, dizziness, headache, unconscious and seizure today. my pain score is 10 out of 10.",child,male,whole body,yes,0,10,5,hypoglycemia
"i feel red patches, dry skin, itchy rash, scaly skin and oozing for 3 days. my pain score is 6 out of 10.",older adult,female,skin,no,3,6,5,eczema flare
"my symptoms are fatigue, increased thirst and blurred vision for 3 days. my pain score is 3 out of 10.",child,male,whole body,no,3,3,3,hyperglycemia
"i am experiencing chest tightness, cough, shortness of breath, wheezing, waking at night, exercise trigger and severe shortness of breath for 6 days. my pain score is 7 out of 10.",older adult,female,chest,yes,6,7,7,asthma flare
"i've got nausea, vomiting, body aches, fever and fatigue for 6 days. my pain score is 5 out of 10.",teen,male,abdomen,no,6,5,5,gastroenteritis
"my symptoms are fatigue, thirst, dry mouth, reduced urination, headache and stomach cramps for 2 days. my pain score is 6 out of 10.",older adult,not specified,whole body,no,2,6,6,dehydration
"for the last few days i have had dry cough, sore throat, loss of smell, fever, headache, body aches and diarrhea for 4 days. my pain score is 5 out of 10.",teen,not specified,whole body,no,4,5,7,covid-like viral illness
"for the last few days i have had acid reflux, burning chest discomfort, cough after meals, worse lying down and nausea for 4 days. my pain score is 7 out of 10.",teen,female,chest/abdomen,no,4,7,5,gerd
my symptoms are nausea and ate suspicious food for 3 days. my pain score is 2 out of 10.,adult,not specified,abdomen,yes,3,2,2,food poisoning
"i feel runny nose, sneezing and fever today. my pain score is 3 out of 10.",adult,not specified,head/chest,no,0,3,3,common cold
"i've got cough, shortness of breath, chest tightness, wheezing, waking at night, needs reliever inhaler and exercise trigger for 5 days. my pain score is 7 out of 10.",older adult,male,chest,no,5,7,7,asthma flare
"i am experiencing severe headache, neck stiffness, drowsiness, vomiting, rash, confusion and very unwell for 5 days. my pain score is 10 out of 10.",teen,female,head/neck,yes,5,10,7,meningitis
"my symptoms are dizziness, sweating, fast heartbeat, headache, seizure and unconscious for 7 days. my pain score is 9 out of 10.",teen,male,whole body,yes,7,9,6,hypoglycemia
"i feel bad taste, facial swelling, swollen glands, pain chewing and fever for 3 days. my pain score is 6 out of 10.",child,male,mouth/face,yes,3,6,5,dental abscess
"for the last few days i have had sweating, chest pressure, nausea, shortness of breath, pain spreading to arm, severe shortness of breath and fear for 3 days. my pain score is 9 out of 10.",older adult,not specified,chest,yes,3,9,7,heart attack
"i am experiencing difficulty moving, injury and localized pain today. my pain score is 1 out of 10.",child,not specified,arm/leg,no,0,1,3,fracture or sprain
"i feel dry mouth, dizziness, thirst, fatigue and nausea for 1 day. my pain score is 2 out of 10.",child,male,whole body,no,1,2,5,dehydration
"i've got chills, body aches, fatigue and dry cough for 3 days. my pain score is 3 out of 10.",older adult,not specified,whole body,no,3,3,4,influenza
i feel dizziness and dark urine for 1 day. my pain score is 1 out of 10.,teen,not specified,whole body,no,1,1,2,dehydration
"for the last few days i have had nausea, chest tightness, sweating, chest pressure, shortness of breath, jaw pain, fainting and sour taste for 5 days. my pain score is 9 out of 10.",child,female,chest,yes,5,9,8,heart attack
"for the last few days i have had chest pressure, chest tightness, sweating, nausea, jaw pain, shortness of breath, severe shortness of breath and fainting for 1 day. my pain score is 7 out of 10.",adult,not specified,chest,yes,1,7,8,heart attack
"i've got neck stiffness, severe headache, light sensitivity, rash, confusion, non-blanching rash and fever today. my pain score is 8 out of 10.",older adult,not specified,head/neck,yes,0,8,7,meningitis
"i have fever, shivering, vomiting, rapid breathing and confusion for 13 days. my pain score is 8 out of 10.",teen,male,whole body,yes,13,8,5,sepsis
"i have scaly skin, dry skin, red patches, itchy rash, sleep disturbance, severe pain and skin pain for 7 days. my pain score is 7 out of 10.",teen,not specified,skin,yes,7,7,7,eczema flare
"for the last few days i have had fatigue, chest discomfort, productive cough, mild fever, mucus, shortness of breath, wheezing and cough for 2 days. my pain score is 4 out of 10.",adult,female,chest,no,2,4,8,bronchitis
"i've got sound sensitivity, nausea and one-sided headache for 3 days. my pain score is 2 out of 10.",teen,male,head,no,3,2,3,migraine
"for the last few days i have had fatigue, dizziness, pale skin, shortness of breath on exertion and shaking today. my pain score is 2 out of 10.",adult,male,whole body,yes,0,2,5,anemia
"i am experiencing nausea, one-sided headache and pressure around head today. my pain score is 2 out of 10.",teen,female,head,no,0,2,3,migraine
"i've got weakness, shaking, hunger, confusion, fast heartbeat, headache, unconscious and cannot swallow for 5 days. my pain score is 10 out of 10.",teen,male,whole body,yes,5,10,8,hypoglycemia
"i've got dull headache, stress, poor sleep and sound sensitivity for 6 days. my pain score is 3 out of 10.",teen,not specified,head,yes,6,3,4,tension headache
"i am experiencing flank pain, burning urination, fever, nausea, chills, vomiting and blood in urine for 6 days. my pain score is 3 out of 10.",teen,not specified,back/abdomen,no,6,3,7,kidney infection
"i've got pressure around head, neck tightness, dull headache, stress, mild nausea, fatigue and thick nasal discharge for 3 days. my pain score is 6 out of 10.",older adult,female,head,no,3,6,7,tension headache
"i have nausea, bloating and burning chest discomfort for 2 days. my pain score is 1 out of 10.",teen,female,abdomen,no,2,1,3,gastritis
"i am experiencing sneezing, blocked nose, mild cough and fatigue for 7 days. my pain score is 4 out of 10.",teen,male,head/chest,yes,7,4,4,common cold
"today i noticed stress, dull headache, neck tightness, pressure around head, mild nausea, poor sleep, fatigue, weakness on one side, confusion and light sensitivity for 5 days. my pain score is 10 out of 10.",child,male,head,yes,5,10,10,tension headache
"i am experiencing dizziness, fatigue, thirst and reduced urination for 5 days. my pain score is 7 out of 10.",adult,not specified,whole body,no,5,7,4,dehydration
"i have swelling, skin pain, warm skin, pus, spreading redness, fever and rapidly spreading rash for 2 days. my pain score is 8 out of 10.",child,not specified,skin/leg/arm,yes,2,8,7,cellulitis
"my symptoms are fever, shivering, fast heartbeat, very unwell, vomiting and weakness for 4 days. my pain score is 5 out of 10.",adult,not specified,whole body,no,4,5,6,sepsis
"today i noticed runny nose, sore throat, headache and fatigue for 7 days. my pain score is 5 out of 10.",adult,not specified,head/chest,yes,7,5,4,common cold
i feel fatigue and dry cough for 1 day. my pain score is 1 out of 10.,child,male,whole body,yes,1,1,2,influenza
for the last few days i have had chest pain when breathing and cough for 1 day. my pain score is 2 out of 10.,adult,not specified,chest,yes,1,2,2,pneumonia
"for the last few days i have had sore throat, mild cough, blocked nose, sneezing, headache, fatigue and chest pain for 10 days. my pain score is 7 out of 10.",child,not specified,head/chest,yes,10,7,7,common cold
"i've got lower abdominal pain, burning urination and nausea for 1 day. my pain score is 3 out of 10.",older adult,not specified,pelvis/abdomen,yes,1,3,3,urinary tract infection
"i have shortness of breath on exertion, fatigue, pale skin, dizziness, headache and dry mouth for 4 days. my pain score is 6 out of 10.",child,not specified,whole body,no,4,6,6,anemia
"i've got bad taste, facial swelling, tooth pain, gum swelling and swollen glands for 7 days. my pain score is 7 out of 10.",older adult,not specified,mouth/face,yes,7,7,5,dental abscess
i feel stomach cramps and nausea today. my pain score is 1 out of 10.,adult,male,abdomen,yes,0,1,2,gastroenteritis
"i've got severe headache, light sensitivity, fever, neck stiffness, drowsiness, rash, non-blanching rash and dry cough for 3 days. my pain score is 9 out of 10.",child,female,head/neck,yes,3,9,8,meningitis
i have body aches and chills for 3 days. my pain score is 3 out of 10.,teen,not specified,whole body,yes,3,3,2,influenza
"today i noticed nausea, bloating, indigestion, vomiting, heartburn and severe abdominal pain for 4 days. my pain score is 9 out of 10.",older adult,not specified,abdomen,yes,4,9,6,gastritis
